team,season,swingAndMisses,numP,totalSwings,FO,flyHits,BIP,GO,groundHits,lineOuts,lineHits,popOuts,popHits,HR,SF,K,PA,BB,AB,H,K%,BB%,HR/PA,BB/K,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,HR/FB%,BABIP,wOBA
AGS,2024,1309,12688,5872,467,192,2636,855,357,149,428,185,3,90,30,524,3506,308,3105,980,14.9,8.8,0.0256702795208214,0.5877862595419847,10.3,22.3,25.0,46.0,21.9,7.1,0.0616086708499714,13.7,0.353,0.374
CAM,2024,1309,11704,5920,435,326,2202,780,161,68,222,208,2,83,20,641,3130,244,2799,711,20.5,7.8,0.026517571884984,0.3806552262090483,11.2,22.1,34.6,42.7,13.2,9.5,0.1268370607028753,10.9,0.3,0.318
CHI,2024,1581,13112,6294,490,173,2612,899,366,115,378,188,3,52,18,669,3569,241,3232,920,18.7,6.8,0.0145699075371252,0.3602391629297459,12.1,25.1,25.4,48.4,18.9,7.3,0.1199215466517231,7.8,0.343,0.332
DUR,2024,1722,14158,6481,480,211,2441,828,271,90,382,174,5,70,27,756,3620,379,3155,869,20.9,10.5,0.0193370165745856,0.5013227513227513,12.2,26.6,28.3,45.0,19.3,7.3,0.1041436464088397,10.1,0.339,0.345
JAL,2024,1673,13806,6435,469,280,2464,797,306,131,279,199,3,106,27,690,3579,374,3106,868,19.3,10.4,0.0296172115115954,0.5420289855072464,12.1,26.0,30.4,44.8,16.6,8.2,0.0882928192232467,14.2,0.326,0.361
LAG,2024,1642,13581,6270,453,259,2387,835,302,84,283,168,3,88,33,696,3526,377,3009,847,19.7,10.7,0.0249574588769143,0.5416666666666666,12.1,26.2,29.8,47.6,15.4,7.2,0.0904707884288145,12.4,0.336,0.36
LAR,2024,1349,13989,6259,502,246,2581,907,375,101,285,164,1,77,36,625,3625,381,3148,907,17.2,10.5,0.0212413793103448,0.6096,9.6,21.6,29.0,49.7,15.0,6.4,0.0673103448275862,10.3,0.334,0.357
LEO,2024,1709,13121,6524,381,231,2430,858,318,133,322,182,4,89,27,728,3513,306,3098,876,20.7,8.7,0.0253344719612866,0.4203296703296703,13.0,26.2,25.2,48.4,18.7,7.7,0.1201252490748647,14.5,0.341,0.348
MEX,2024,1546,14797,6666,418,229,2580,791,339,144,447,206,6,116,28,680,3721,424,3209,1021,18.3,11.4,0.0311744154797097,0.6235294117647059,10.4,23.2,25.1,43.8,22.9,8.2,0.068798710024187,17.9,0.371,0.394
MTY,2024,1499,13705,6448,491,236,2599,876,318,107,381,188,2,102,25,606,3574,328,3144,937,17.0,9.2,0.0285394515948517,0.5412541254125413,10.9,23.2,28.0,45.9,18.8,7.3,0.0777839955232232,14.0,0.339,0.367
MVA,2024,1620,13749,6504,472,205,2559,836,338,119,363,210,16,102,31,672,3616,335,3161,922,18.6,9.3,0.0282079646017699,0.4985119047619047,11.8,24.9,26.5,45.9,18.8,8.8,0.0931969026548672,15.1,0.339,0.359
OAX,2024,1686,13886,6670,531,317,2575,810,310,109,332,165,1,142,16,689,3642,335,3214,960,18.9,9.2,0.0389895661724327,0.4862119013062409,12.1,25.3,32.9,43.5,17.1,6.4,0.0971993410214168,16.7,0.341,0.376
PUE,2024,1587,12500,5933,468,243,2285,756,257,84,295,180,2,123,28,635,3306,342,2863,797,19.2,10.3,0.0372050816696914,0.5385826771653544,12.7,26.7,31.1,44.3,16.6,8.0,0.0886267392619479,17.3,0.316,0.362
QRO,2024,1580,13559,6288,480,258,2525,790,311,125,388,169,4,127,32,612,3548,362,3092,961,17.2,10.2,0.0357948139797068,0.5915032679738562,11.7,25.1,29.2,43.6,20.3,6.9,0.0704622322435174,17.2,0.35,0.389
SLT,2024,1886,13231,6709,497,168,2642,856,330,155,430,202,4,77,32,608,3607,279,3177,932,16.9,7.7,0.0213473800942611,0.4588815789473684,14.3,28.1,25.2,44.9,22.1,7.8,0.0912115331300249,11.6,0.339,0.35
TAB,2024,1415,13382,6401,509,216,2551,880,261,100,357,222,6,85,18,621,3534,324,3116,840,17.6,9.2,0.0240520656479909,0.5217391304347826,10.6,22.1,28.4,44.7,17.9,8.9,0.0840407470288624,11.7,0.311,0.335
TIG,2024,1540,12768,6105,431,173,2259,808,255,111,272,208,1,70,13,721,3293,271,2936,701,21.9,8.2,0.0212572122684482,0.3758668515950069,12.1,25.2,26.7,47.1,17.0,9.3,0.1366535074400243,11.6,0.292,0.302
TIJ,2024,1739,14173,6385,504,187,2468,797,278,108,398,195,1,112,25,745,3648,387,3169,864,20.4,10.6,0.0307017543859649,0.5194630872483221,12.3,27.2,28.0,43.6,20.5,7.9,0.0981359649122807,16.2,0.322,0.353
VER,2024,1514,13148,6297,480,228,2444,842,288,108,293,202,3,81,31,630,3463,328,3005,812,18.2,9.5,0.0233901241697949,0.5206349206349207,11.5,24.0,29.0,46.2,16.4,8.4,0.0872076234478775,11.4,0.314,0.338
YUC,2024,1326,12788,5860,438,238,2346,790,250,119,320,191,0,105,24,618,3353,359,2919,808,18.4,10.7,0.0313152400835073,0.580906148867314,10.4,22.6,28.8,44.3,18.7,8.1,0.0772442588726513,15.5,0.317,0.355
